Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"HIP2","0 0 1.22 ","-19 29 55 ","9.27","K3V","45.6",""
"HIP171","0 2 11.1 ","27 4 41 ","5.80","G3V","12.4",""
"HIP194","0 2 29.6 ","8 29 6 ","5.70","F0V","37.6",""
"HIP400","0 4 56.7 ","23 16 10 ","7.82","G9V","25.6",""
"HIP428","0 5 12.2 ","45 47 9 ","9.95","M2","11.4",""
"HIP443","0 5 20.1 ","-5 42 26 ","4.61","K1III","39.4",""
"HIP518","0 6 16.3 ","58 26 12 ","5.98","G5V","20.2","04/04/2016"
"HIP544","0 6 37.2 ","29 1 14 ","6.07","K0V","13.7",""
"GJ1002","0 6 42.9 ","-7 32 52 ","13.7","M5.0V","4.69",""
"HIP669","0 8 16.3 ","-14 49 28 ","7.04","G2/G3V","27.6",""
"HIP677","0 8 23.4 ","29 5 22 ","2.07","B9p","29.7",""
"HIP910","0 11 15.7 ","-15 28 9 ","4.89","F5V","18.8",""
"HIP916","0 11 21.6 ","58 21 0 ","9.50","K7","28.0","04/04/2016"
"HIP974","0 12 4.36 ","27 5 54 ","8.73","K0","25.7",""
"HIP1086","0 13 30.6 ","41 2 4 ","5.71","F0IV","35.0",""
"HIP1092","0 13 40.3 ","80 39 59 ","11.1","M0","19.5",""
"HIP1368","0 17 7.18 ","40 56 55 ","8.99","M0","14.9",""
"HIP1386","0 17 21.1 ","29 11 5 ","11.5","M:","23.4",""
"HIP1444","0 17 59.3 ","-13 27 20 ","6.51","G2V","26.1","05/14/2016"
"HIP1463","0 18 16.5 ","10 12 9 ","10.8","M0","16.2","05/14/2016"
"HIP1473","0 18 19.5 ","36 47 6 ","4.51","A2V","43.2",""
"GJ15A","0 18 27.2 ","44 1 29 ","8.08","M1.5V","3.57","01/04/2016"
"GJ15B","0 18 29.8 ","44 1 44 ","11.0","M3.5V","3.57","01/13/2016"
"HIP1499","0 18 42.3 ","-8 3 13 ","6.47","G0V","23.4","05/14/2016"
"HIP1532","0 19 5.51 ","-9 57 58 ","9.90","K7V","20.7","05/14/2016"
"HIP1598","0 20 0.21 ","38 13 34 ","6.97","G0","24.8",""
"HIP1692","0 21 13.3 ","-8 16 52 ","9.19","K2","23.0",""
"HIP1803","0 22 52.2 ","-12 12 32 ","6.39","G3V","20.3",""
"HIP1860","0 23 24.7 ","77 11 22 ","11.3","K","19.7",""
"HIP2120","0 26 52.2 ","70 8 30 ","10.5","M0","16.2","01/13/2016"
"HIP2235","0 28 20.0 ","10 11 20 ","6.05","F6Vawvar","36.3",""
"HIP2337","0 29 52.0 ","-14 51 51 ","6.15","F2/F3V","42.3",""
"HIP2426","0 30 56.4 ","73 22 17 ","10.6","","27.5",""
"HIP2422","0 30 56.7 ","77 1 9 ","6.18","K0IV","39.4","01/14/2016"
"HIP2552","0 32 34.2 ","67 14 4 ","10.2","M2.5Ve","10.1","01/14/2016"
"HIP2742","0 35 0.62 ","42 41 40 ","8.02","K0IV","28.9",""
"HIP2762","0 35 15.3 ","-3 35 34 ","5.20","F8V...","21.0",""
"HIP3092","0 39 19.8 ","30 51 38 ","3.27","K3III...","31.0",""
"HIP3093","0 39 21.2 ","21 14 55 ","5.88","K0V","11.1",""
"HIP3203","0 40 47.4 ","-7 13 58 ","7.02","G0...","25.8",""
"HIP3206","0 40 49.7 ","40 11 3 ","7.36","K2V","17.2",""
"HIP3418","0 43 32.5 ","33 50 34 ","8.73","K8","20.7",""
"HIP3419","0 43 35.6 ","-17 59 11 ","2.04","K0III","29.3",""
"HIP3535","0 45 4.83 ","1 46 58 ","8.03","K2V","22.0",""
"HIP3645","0 46 40.5 ","-4 25 41 ","7.57","G5","27.9",""
"HIP3757","0 48 13.5 ","-5 8 9 ","12.0","","25.7",""
"HIP3765","0 48 23.7 ","5 16 31 ","5.74","K2V","7.46",""
"HIP3821","0 49 8.49 ","57 48 45 ","3.46","G0V SB","5.95","04/29/2016"
"HIP3876","0 49 47.6 ","70 27 1 ","7.75","K0","21.5","04/04/2016"
"HIP3909","0 50 7.34 ","-10 38 43 ","5.17","F7IV-V","15.4",""
"HIP3979","0 51 11.1 ","-5 2 23 ","6.98","G0","22.0",""
"HIP3998","0 51 21.8 ","18 44 16 ","9.22","K2","21.8",""
"HIP4151","0 53 4.04 ","61 7 29 ","4.80","F8V","18.5","04/04/2016"
"HIP4288","0 54 58.2 ","23 37 41 ","5.46","K1IV","38.9",""
"HIP4436","0 56 45.4 ","38 29 58 ","3.86","A5V","41.7",""
"HIP4454","0 57 6.57 ","69 2 32 ","9.12","K4V","24.1","04/29/2016"
"HIP4824","1 1 56.8 ","-9 53 15 ","10.4","K5V","31.1",""
"HIP4845","1 2 21.1 ","-10 25 28 ","10.0","K7V","21.6",""
"HIP4849","1 2 24.9 ","5 3 44 ","8.16","K2","21.4",""
"HIP4856","1 2 38.2 ","71 40 41 ","9.98","M3.5e","8.14","04/29/2016"
"HIP4872","1 2 40.5 ","62 20 43 ","9.56","K5V...","10.0","04/29/2016"
"HIP4907","1 2 57.8 ","69 13 35 ","7.67","G5","25.8",""
"HIP4927","1 3 14.9 ","20 5 52 ","11.3","M","16.3",""
"HIP5041","1 4 32.8 ","26 7 12 ","10.0","K5","29.0",""
"HIP5110","1 5 29.9 ","15 23 20 ","8.66","K2V","26.5",""
"HIP5247","1 7 11.9 ","63 56 33 ","9.00","K7V","15.0","04/14/2016"
"HIP5286","1 7 37.9 ","22 57 9 ","8.41","K4V","20.7",""
"HIP5310","1 7 57.2 ","20 44 19 ","5.56","A3V","49.4",""
"HIP5319","1 8 1.59 ","32 0 43 ","6.23","F5IV","41.8",""
"HIP5346","1 8 21.9 ","5 38 56 ","5.51","F0III-IV","35.9",""
"HIP5336","1 8 22.8 ","54 54 47 ","5.17","G5Vp","7.55","04/14/2016"
"HIP5364","1 8 35.6 ","-10 10 58 ","3.46","K2III","36.0",""
"HIP5369","1 8 40.2 ","17 14 23 ","10.5","K6","27.7",""
"HIP5521","1 10 41.6 ","42 55 51 ","7.66","K0","26.7","04/29/2016"
"HIP5542","1 11 6.58 ","55 8 59 ","4.34","A7Vvar","42.1","04/14/2016"
"HIP5631","1 12 19.0 ","12 16 53 ","6.89","F5","33.7",""
"GJ54.1","1 12 31.9 ","-16 59 45 ","12.1","M4.0V","3.71",""
"HIP5737","1 13 44.0 ","7 34 30 ","5.21","A7IV","45.2",""
"HIP5763","1 13 58.8 ","16 29 39 ","9.82","K5","30.6",""
"HIP5799","1 14 24.1 ","-7 55 17 ","5.14","F5V","24.3",""
"HIP5938","1 16 24.3 ","-12 5 49 ","7.55","K0V","26.5",""
"HIP5944","1 16 29.0 ","42 56 21 ","6.59","G0","23.6","04/29/2016"
"HIP5957","1 16 39.8 ","25 19 51 ","10.1","K5","22.7",""
"HIP5985","1 16 59.2 ","-2 16 47 ","6.52","F8","29.6",""
"HIP6037","1 17 34.3 ","-15 30 19 ","9.75","K3V","30.1",""
"HIP6069","1 17 53.3 ","5 28 16 ","11.0","M2V:","15.3",""
"HIP6130","1 18 41.5 ","-0 52 7 ","8.00","K1V","27.6",""
"HIP6273","1 20 30.2 ","-19 57 0 ","7.57","G5/G6V","28.7",""
"HIP6290","1 20 40.1 ","57 19 47 ","10.3","K6V:","18.9",""
"HIP6339","1 21 28.9 ","31 20 27 ","8.46","K2V","28.7",""
"HIP6344","1 21 32.6 ","80 9 5 ","9.67","K8","24.1","05/03/2016"
"HIP6379","1 21 58.9 ","76 42 36 ","7.17","K0","16.8","05/03/2016"
"HIP6405","1 22 18.5 ","18 40 57 ","6.96","G3V","25.5",""
"HIP6537","1 24 1.31 ","-8 11 3 ","3.60","K0III","35.1",""
"HIP6558","1 24 16.8 ","12 54 25 ","9.52","K3","33.7",""
"HIP6706","1 26 15.2 ","19 10 20 ","5.35","F2V:var","26.0",""
"HIP6748","1 26 51.5 ","-13 3 23 ","5.51","F0V","36.2",""
"HIP6762","1 27 1.86 ","-0 9 33 ","7.96","G5","29.7",""
"HIP6813","1 27 39.9 ","45 24 22 ","4.83","F5IV","28.3",""
"HIP6917","1 29 5.42 ","21 43 20 ","7.74","K2V","23.1",""
"HIP7078","1 31 14.1 ","70 15 51 ","5.82","F6V","29.2","04/21/2016"
"HIP7339","1 34 32.1 ","68 56 55 ","6.52","G6V","20.9","04/21/2016"
"HIP7500","1 36 39.8 ","21 33 47 ","9.23","","32.5",""
"HIP7513","1 36 47.5 ","41 24 13 ","4.10","F8V","13.4",""
"HIP7535","1 37 5.83 ","12 8 29 ","5.54","F0V","33.8",""
"HIP7564","1 37 24.8 ","25 10 0 ","6.99","K0IV","42.0",""
"HIP7576","1 37 35.6 ","-6 45 39 ","7.66","G5","23.6",""
"HIP7585","1 37 41.0 ","12 4 42 ","6.77","G5V","25.7",""
"GJ65A","1 39 5.06 ","-17 56 51 ","12.6","M5.5V","2.67",""
"HIP7734","1 39 36.3 ","45 52 36 ","6.60","G5IV","21.3",""
"HIP7748","1 39 46.3 ","73 42 30 ","9.81","","27.2","04/21/2016"
"HIP7916","1 41 44.9 ","-11 19 35 ","5.75","F5V+...","37.2",""
"HIP7918","1 41 48.3 ","42 36 45 ","4.96","G2V","12.6",""
"HIP7981","1 42 29.4 ","20 15 55 ","5.24","K1V","7.46",""
"HIP8051","1 43 19.7 ","4 19 5 ","10.9","M2V:","11.2",""
"HIP8070","1 43 39.7 ","63 49 14 ","8.42","K5V","13.4","05/03/2016"
"GJ71","1 44 2.17 ","-15 56 1 ","3.49","G8.5V","3.65","01/13/2016"
"HIP8275","1 46 38.7 ","12 24 41 ","8.91","K5","23.0",""
"HIP8361","1 47 43.6 ","-12 46 11 ","9.74","K5V","32.4",""
"HIP8362","1 47 46.2 ","63 51 5 ","5.63","K0V","9.97","04/21/2016"
"HIP8433","1 48 41.3 ","32 41 29 ","5.78","F8V","27.2",""
"HIP8486","1 49 23.2 ","-10 42 14 ","6.72","G0","23.0",""
"HIP8497","1 49 34.9 ","-10 41 12 ","4.66","F3III","23.6",""
"HIP8543","1 50 7.83 ","29 27 51 ","8.06","K1V","26.7",""
"HIP8588","1 50 51.8 ","11 2 35 ","5.92","F2Vw","42.6",""
"HIP8867","1 54 5.99 ","66 10 32 ","8.47","G5","22.1","05/03/2016"
"HIP8903","1 54 38.5 ","20 48 27 ","2.64","A5V...","18.2",""
"HIP9094","1 57 9.19 ","-10 14 36 ","6.42","G5","33.9",""
"HIP9153","1 57 55.6 ","23 35 45 ","4.79","F0V","40.8",""
"HIP9269","1 59 6.94 ","33 12 29 ","7.14","G5","24.5",""
"GJ83.1","2 0 14.4 ","13 2 39 ","12.3","M4.0V","4.44",""
"HIP9480","2 1 57.2 ","70 54 25 ","4.49","A3IV","35.8","02/06/2016"
"HIP9487","2 2 2.85 ","2 45 49 ","3.82","A2","42.6","04/09/2016"
"HIP9598","2 3 25.9 ","72 25 17 ","3.95","A2V","49.7","02/06/2016"
"HIP9716","2 4 59.3 ","-15 40 41 ","7.79","K0V","25.5",""
"HIP9724","2 5 6.33 ","-17 36 55 ","10.1","M3","9.43",""
"HIP9727","2 5 8.09 ","77 16 52 ","5.27","F0Vn","33.5","02/06/2016"
"HIP9753","2 5 24.9 ","-9 47 31 ","9.56","K3V","32.7",""
"HIP9788","2 5 49.0 ","30 47 0 ","9.83","K6","28.7",""
"HIP9829","2 6 30.2 ","24 20 0 ","6.89","G2V","23.1","04/09/2016"
"HIP9884","2 7 10.6 ","23 27 42 ","2.01","K2III","20.2","04/09/2016"
"HIP10031","2 9 9.30 ","71 33 3 ","6.57","F8","27.3",""
"HIP10072","2 9 36.7 ","-14 21 38 ","11.7","","19.8",""
"HIP10279","2 12 19.0 ","3 34 2 ","10.0","M3V:","10.3","04/09/2016"
"HIP10306","2 12 48.2 ","21 12 39 ","5.23","F5V","30.1","04/09/2016"
"HIP10321","2 12 55.0 ","40 40 4 ","7.19","G0","26.2",""
"HIP10339","2 13 13.4 ","40 30 25 ","7.35","G0","25.5",""
"HIP10416","2 14 13.5 ","-3 38 10 ","8.55","K2","22.8","05/17/2016"
"HIP10505","2 15 24.9 ","24 16 13 ","6.80","G8IV","26.4",""
"HIP10542","2 15 46.0 ","-18 14 19 ","7.94","K3V","22.2",""
"HIP10644","2 17 4.73 ","34 13 23 ","4.84","G0V","10.8","06/02/2016"
"HIP10670","2 17 18.9 ","33 50 49 ","4.03","A1Vnn","36.0","06/02/2016"
"HIP10723","2 18 1.83 ","1 45 34 ","5.60","G0.5IV","24.9",""
"HIP11000","2 21 44.7 ","-6 52 45 ","9.07","K0","26.7","06/05/2016"
